iter	Passed	Remaining
902	1210	130
903	1211	128
904	1212	127
905	1213	125
906	1214	124
907	1215	123
908	1216	121
909	1217	120
910	1218	119
911	1220	117
912	1221	116
913	1223	115
914	1224	113
915	1225	112
916	1226	111
917	1227	109
918	1228	108
919	1229	106
920	1231	105
921	1232	104
922	1233	102
923	1234	101
924	1235	100
925	1236	98
926	1238	97
927	1240	96
928	1241	94
929	1242	93
930	1243	92
931	1245	90
932	1246	89
933	1247	88
934	1248	86
935	1249	85
936	1251	84
937	1252	82
938	1254	81
939	1255	80
940	1256	78
941	1257	77
942	1258	76
943	1260	74
944	1261	73
945	1262	72
946	1263	70
947	1264	69
948	1265	68
949	1267	66
950	1269	65
951	1270	64
952	1271	62
953	1273	61
954	1274	60
955	1275	58
956	1276	57
957	1277	56
958	1279	54
959	1280	53
960	1281	52
961	1283	50
962	1284	49
963	1285	47
964	1286	46
965	1287	45
966	1288	43
967	1289	42
968	1291	41
969	1292	39
970	1293	38
971	1294	37
972	1296	35
973	1297	34
974	1298	33
975	1299	31
976	1301	30
977	1302	29
978	1303	27
979	1304	26
980	1306	25
981	1307	23
982	1308	22
983	1309	21
984	1311	19
985	1312	18
986	1313	17
987	1315	15
988	1315	14
989	1317	13
990	1318	11
991	1319	10
992	1321	9
993	1322	7
994	1323	6
995	1325	5
996	1327	3
997	1328	2
998	1329	1
999	1330	0
